title,type,question,A,B,C,D,E,F,answer,image
医学,radio,Aloe vera / lidah buaya,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,A,
,radio,Ginseng,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,A,
,radio,Ginger / Halia,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,A,
,radio,Hibiscus plant / Pokok bunga raya,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,A,
,radio,Quinine / Kuinina,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,A,
,radio,Analgesics / Analgesik,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,B,
,radio,Antibiotics / Antibiotik,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,B,
,radio,Psychotherapeutic / Psikoteraputik,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,B,
,radio,Acupuncture / Akupunktur,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,C,
,radio,Chiropractic / Kiropraktik,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,C,
,radio,Traditional massage / Urutan tradisional,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,C,
,radio,Homeopathy / Homeopati,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,C,
,radio,Herbal therapy / Terapi herba,Traditional Medicine / Perubatan Tradisional,Modern Medicine / Perubatan Moden,Complementary Medicine / Perubatan Komplementari,,,,C,
,radio,Skin / Kulit,Aloe vera / lidah buaya,Ginseng,Ginger / Halia,Hibiscus plant / Pokok bunga raya,Quinine / Kuinina,,A,
,radio,maintain good health / memelihara kesihatan badan,Aloe vera / lidah buaya,Ginseng,Ginger / Halia,Hibiscus plant / Pokok bunga raya,Quinine / Kuinina,,B,
,radio,Relieves swelling / Melegakan bengkak,Aloe vera / lidah buaya,Ginseng,Ginger / Halia,Hibiscus plant / Pokok bunga raya,Quinine / Kuinina,,C,
,radio,relieve headache and prevent hair loss / melegakan sakit kepala dan merawat masalah keguguran rambut,Aloe vera / lidah buaya,Ginseng,Ginger / Halia,Hibiscus plant / Pokok bunga raya,Quinine / Kuinina,,D,
,radio,medicine for malaria / ubat penyakit malaria,Aloe vera / lidah buaya,Ginseng,Ginger / Halia,Hibiscus plant / Pokok bunga raya,Quinine / Kuinina,,E,
