title,type,question,A,B,C,answer,image
Nuclear Energy in Malaysia,radio,Can generate greater (electrical) energy / Dapat menjana tenaga (elektrik) yang lebih besar 属于,同意核能建设的观点,不同意核能建设的观点,,A,
,radio,Less air pollution / Kurang menyebabkan pencemaran udara 属于,同意核能建设的观点,不同意核能建设的观点,,A,
,radio,Environmental friendly / Mesra alam 属于,同意核能建设的观点,不同意核能建设的观点,,A,
,radio,Reduce the release of greenhouse gases / Mengurangkan pembebasan gas rumah hijau 属于,同意核能建设的观点,不同意核能建设的观点,,A,
,radio,Reduce the use of fossil fuels / Mengurangkan penggunaan bahan api fosil 属于,同意核能建设的观点,不同意核能建设的观点,,A,
,radio,Can generate national income / Dapat menjana pendapatan negara 属于,同意核能建设的观点,不同意核能建设的观点,,A,
,radio,High construction costs / Kos pembinaan yang tinggi 属于,同意核能建设的观点,不同意核能建设的观点,,B,
,radio,High maintenance costs / Kos penyelenggaraan yang tinggi 属于,同意核能建设的观点,不同意核能建设的观点,,B,
,radio,Cause radiation if there is a leak / Menyebabkan radiasi jika berlaku kebocoran 属于,同意核能建设的观点,不同意核能建设的观点,,B,
,radio,Cause mutation / Menyebabkan mutasi 属于,同意核能建设的观点,不同意核能建设的观点,,B,
,radio,Cause cancer / Menyebabkan kanser 属于,同意核能建设的观点,不同意核能建设的观点,,B,
,radio,Cause fetal defects / Menyebabkan kecacatan fetuss 属于,同意核能建设的观点,不同意核能建设的观点,,B,
